,Description
0,channeling the streamlined look of an  80s racer  these shoes are updated with modern features  the foot hugging adidas primeknit upper offers a soft  breathable feel  the boost midsole provides responsive comfort accented with a contrast color eva heel plug  embroidered details add a distinctive finish 
1,a modern take on adidas sport heritage  tailored just for women  perforated 3 stripes on the leather upper of these shoes offer a sleek look that mirrors iconic tennis styles 
2,these adidas puka slippers for women s come with slim straps for a great fit  feature performance logo on the footbed and textured rubber outsole that gives unique comfort 
3,inspired by modern tech runners  these women s shoes step out with unexpected style  they re built with a breathable knit upper  while the heel offers the extra support of an achilles hugging design  the cushioned midsole provides a soft landing with every stride 
4,this design is inspired by vintage taekwondo styles originally worn to perfect high kicks and rapid foot strikes  the canvas shoes make a streetwear fashion statement as a chic  foot hugging slip on  they re shaped for a narrow  women s specific fit and ride on a soft gum rubber outsole 
5,refine your interval training in these women s versatile running inspired shoes  featuring a lightweight mesh and synthetic upper  they combine responsive midsole cushioning with a soft collar that reduces ankle pressure 
6,refine your interval training in these women s versatile running inspired shoes  featuring a lightweight mesh and synthetic upper  they combine responsive midsole cushioning with a soft collar that reduces ankle pressure 
7,these adidas puka slippers for women s come with slim straps for a great fit  feature performance logo on the footbed and textured rubber outsole that gives unique comfort 
8,these women s neutral running shoes will get you on the road to your goals  a sandwich mesh upper offers lightweight breathability  while a seamless print overlay adds support for a stable stride  the midsole offers pillow soft cloudfoam cushioning that eases every stride 
9,the forest grove brings back the look of the adidas oregon running design from the  80s  a favourite for marathon training  it had a distinctive look and feel with shock absorbing cushioning and a web wrapped midsole  these streetwear shoes echo the original look with a textured nubuck and mesh upper  a web overlay on the midsole adds authentic oregon style 
10,the swift distills decades of adidas heritage running designs  made for casual everyday wear  these lightweight knit shoes come with a sleek shape and a supportive yet flexible feel  they stand out with embroidered accents and smooth welded details  an eva midsole adds all day wearability 
11,these low profile shoes come in a pastel color for a feminine touch  a mix of nubuck and canvas on the upper adds texture  the suede toe cap is abrasion resistant so they look fresh and new longer  a vulcanized outsole makes them durable 
12,these women s neutral running shoes will get you on the road to your goals  a sandwich mesh upper offers lightweight breathability  while a seamless print overlay adds support for a stable stride  the midsole offers pillow soft cloudfoam cushioning that eases every stride 
13,forty years of court style  refined to the essentials  the clean  simple lines and supple leather upper of these shoes are a nod to tennis history  iconic perforated 3 stripes and a contrasting trefoil heel tab give them a timeless look 
14,when the road turns to trail  all that matters is what lies ahead  these running shoes deliver a plush ride and confident grip in a fresh  sporty look  cloudfoam cushioning feels ultra soft while the aggressive outsole grabs on in all directions  the multilayer upper and sleek 3 stripes elevate your look when you get back to town 
15,these women s running shoes have a breathable mesh upper to keep your feet ventilated on your daily runs  the cloudfoam midsole provides plush cushioning with every stride  and a high wear outsole holds up over time 
16,a fast  lightweight adidas stormrunner shoes for women  these running inspired shoes are very comfortable for your daily routine  made with textile upper and cloudfoam midsole along with rubber outsole these shoes will provide comfort to your feet all day long 
17,these women s running inspired shoes feature a breathable mesh upper with a comfort collar  while a moulded overlay provides lightweight support  the soft cloudfoam cushioning in the one piece midsole and outsole provides comfort that lasts all day long 
18,a minimalist design with maximum post workout comfort  these women s thong sandals feature a soft strap connected to a cloudfoam footbed that cushions every step and dries quickly  a durable rubber outsole adds long lasting wear 
19,unstoppable style  these shoes borrow their lightweight look and feel from celebrated runners  the airy mesh upper has a clean finish with monochrome 3 stripes  plush cushioning helps keep the ride smooth 
